Geographic area,City,share_white,share_black,share_native_american,share_asian,share_hispanic,Median Household Income,% over 25 completed hs,% below poverty level,Police Killings Yes/No
NY,Brasher Falls CDP,96,0.1,0.7,0.3,1.8,54120,95.3,12.2,
NY,Breesport CDP,97.3,0.3,1,0.5,1.8,57750,96.7,4.3,
NY,Brentwood CDP,48.4,16.4,1.2,2,68.5,70139,70.8,11.6,
NY,Brewerton CDP,95.3,1.3,0.6,0.8,1.5,57708,92.1,21,
NY,Brewster village,75.7,2.9,0.6,3.4,56,(X),100,80,
NY,Brewster Hill CDP,92,2,0,2.2,11.6,90909,92.1,1.2,
NY,Briarcliff Manor village,86.4,3.4,0.1,6.9,5.3,141170,95.5,2.2,
NY,Bridgehampton CDP,76.3,13.4,0.3,1.2,14.6,77174,93.8,2.8,
NY,Bridgeport CDP,95.3,1.3,0.7,0.8,1.1,63750,69.2,0.1,
NY,Bridgewater village,96.8,0.2,0.2,0.6,3,#N/A,#N/A,#N/A,
NY,Brighton CDP,79.8,5.1,0.1,11.8,3.3,66149,94.4,9.5,
NY,Brightwaters village,94.3,1.5,0,1.6,5.1,122692,98.6,1.7,
NY,Brinckerhoff CDP,86.5,5.6,0.1,3.9,10.8,95388,94.6,6.2,
NY,Broadalbin village,95.8,1.5,0,0.9,1.9,56439,91.6,12.2,
NY,Brockport village,91.7,3.8,0.3,1.3,3.8,41493,92.9,28.9,
NY,Brocton village,96.1,0.2,0.8,0.2,4.8,43000,89.9,22.4,
NY,Bronxville village,90.3,1.4,0,5.2,4.4,198839,98.7,3,
NY,Brookhaven CDP,89.3,6.6,0.1,0.7,6.1,90833,88.4,8.7,
NY,Brookville village,75.6,11.5,0.2,10.3,6.3,214167,97.9,2.1,
NY,Brownville village,97.6,0.4,0.3,0.7,1.3,40000,92.2,7.7,
NY,Brushton village,96.8,0,1.5,0,0.6,42500,86.7,28.5,
NY,Buchanan village,90.2,3.1,0,1.5,16,97935,92.5,5.5,
NY,Buffalo city,50.4,38.6,0.8,3.2,10.5,44922,84.2,6.5,
NY,Burdett village,96.2,0.9,0.3,0.3,0.9,47500,91.9,13.1,
NY,Burke village,96.7,0,0,0,3.3,38750,89,16,
NY,Busti CDP,95.4,1,1.3,0.8,0.8,59861,87.8,8.3,
NY,Byersville CDP,93.6,2.1,0,0,0,53611,87.3,63.4,
NY,Cairo CDP,93.1,1.8,0.4,0.8,6.3,23883,69.6,31.5,
NY,Calcium CDP,73,13.9,0.7,2.1,13.9,48398,88.9,6.8,
NY,Caledonia village,94.1,3.4,0,0.7,1.4,67917,85.3,14.6,
NY,Callicoon CDP,97.6,0.6,0,0.6,8.4,39063,98.5,0,
NY,Calverton CDP,87.2,8,0.2,0.9,7,75208,88.8,5.7,
NY,Cambridge village,96.1,1.1,0.1,0.9,1.3,54821,90.8,8.1,
NY,Camden village,97.8,0.4,0.3,0.3,0.7,38409,90.7,31.5,
NY,Camillus village,94.2,3.5,0.4,0.2,1.8,49688,96.9,10.1,
NY,Campbell CDP,97.2,0.1,0,0.1,0.7,31939,88.4,16.3,
NY,Canajoharie village,95,2.2,0.4,0.6,2.3,45455,85.2,20.9,
NY,Canandaigua city,95.1,1.8,0.3,0.7,2,43185,93.8,15.4,
NY,Canaseraga village,97.5,0.2,0.5,0,1.3,29875,87.3,29.7,
NY,Canastota village,95.9,1,0.5,0.5,2,47431,94.3,16.2,
